Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",-8.821300057436e-02,4.492675500516e-02,4.848779235435e-01,-8.822162327193e-02,4.493188973886e-02,4.874527560942e-01,-8.622697572690e-06,5.134733706140e-06,2.574832550706e-03
"                   2",-1.665573302244e+00,-2.108599418695e+00,1.253283905619e+02,-1.227453634743e+00,-2.190365842262e+00,2.070657095148e+02,4.381196675016e-01,-8.176642356703e-02,8.173731895297e+01
"                   3",3.617996009149e+02,-1.417210081318e+02,4.962287143327e+02,3.623372557867e+02,-1.418024556224e+02,5.768262017020e+02,5.376548718710e-01,-8.144749065315e-02,8.059748736934e+01
"                   4",1.906036511069e+02,-1.254857610469e+02,3.834512774085e+02,1.911878419594e+02,-1.257393196317e+02,4.664755202217e+02,5.841908525020e-01,-2.535585848104e-01,8.302424281327e+01
"                   5",-1.591096419196e+01,-3.647670023549e+01,2.837872647575e+02,-1.528574530918e+01,-3.680863427767e+01,3.641380914733e+02,6.252188827833e-01,-3.319340421790e-01,8.035082671581e+01
"                   6",-1.613198949894e+02,6.603619066921e+01,2.732826162667e+02,-1.606877228205e+02,6.560524558171e+01,3.476987167621e+02,6.321721689820e-01,-4.309450874990e-01,7.441610049542e+01
"                   7",-1.637493947431e+02,1.072449242283e+02,3.151086496610e+02,-1.630846695824e+02,1.066811729488e+02,3.816633546914e+02,6.647251606718e-01,-5.637512795491e-01,6.655470503043e+01
"                   8",-6.316743990818e+01,5.303497563568e+01,3.337888369559e+02,-6.257654094377e+01,5.266463126782e+01,3.928619919529e+02,5.908989644087e-01,-3.703443678624e-01,5.907315499700e+01
"                   9",4.007130510692e+01,-4.242868000899e+01,3.180355599144e+02,4.056125850675e+01,-4.269010044925e+01,3.706452818032e+02,4.899533998320e-01,-2.614204402588e-01,5.260972188880e+01
"                  10",8.099235279726e+01,-1.038752609336e+02,2.973030626337e+02,8.141603222265e+01,-1.041478014547e+02,3.442808676654e+02,4.236794253906e-01,-2.725405211273e-01,4.697780503167e+01
"                  11",6.372349010350e+01,-9.207405840986e+01,2.978187086687e+02,6.412256591247e+01,-9.236895689413e+01,3.397890240562e+02,3.990758089700e-01,-2.948984842655e-01,4.197031538753e+01
"                  12",2.684080041125e+01,-2.963965671253e+01,3.117648567183e+02,2.719924375630e+01,-2.993224891018e+01,3.493674247684e+02,3.584433450463e-01,-2.925921976473e-01,3.760256805009e+01
"                  13",-7.170473069999e+00,1.994534661626e+01,3.236396527128e+02,-6.851319221471e+00,1.967924549053e+01,3.574382145871e+02,3.191538485277e-01,-2.661011257337e-01,3.379856187424e+01
"                  14",-2.715185339101e+01,2.243320034968e+01,3.197587597192e+02,-2.688792070886e+01,2.219364781595e+01,3.501691456482e+02,2.639326821514e-01,-2.395525337255e-01,3.041038592899e+01
"                  15",-2.571739160675e+01,-8.589836754090e+00,3.045734598102e+02,-2.551234642173e+01,-8.828233494052e+00,3.319002776132e+02,2.050451850219e-01,-2.383967399625e-01,2.732681780299e+01
"                  16",-1.255524527462e+01,-4.286719293648e+01,2.907239629419e+02,-1.239649874324e+01,-4.309725488838e+01,3.152256814173e+02,1.587465313818e-01,-2.300619518905e-01,2.450171847547e+01
"                  17",-6.822526207722e-01,-5.642132835350e+01,2.774082713402e+02,-5.544305047625e-01,-5.664234424099e+01,2.994691524289e+02,1.278221160097e-01,-2.210158874899e-01,2.206088108870e+01
"                  18",4.558557229551e+00,-4.955262066411e+01,2.637892330202e+02,4.680607973846e+00,-4.975935327623e+01,2.837576979745e+02,1.220507442957e-01,-2.067326121147e-01,1.996846495430e+01
"                  19",3.235865305208e+00,-3.496034039469e+01,2.512020545657e+02,3.361059266093e+00,-3.514611651354e+01,2.693595978740e+02,1.251939608851e-01,-1.857761188464e-01,1.815754330828e+01
