Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",1.789631769207e-02,4.621361470659e-03,-1.205085649776e-02,1.804666602714e-02,4.641623221728e-03,-1.205076792705e-02,1.503483350719e-04,2.026175106876e-05,8.857071255974e-08
"                   2",1.119613366065e+00,-7.650727150553e-02,-2.394540647571e-01,1.670887847247e+00,-1.213415741728e-01,-2.389534116389e-01,5.512744811812e-01,-4.483430266729e-02,5.006531182630e-04
"                   3",2.388609309611e+00,5.272233858622e-02,7.946650225205e+00,2.921496922711e+00,1.210647552007e-02,7.948121178075e+00,5.328876131003e-01,-4.061586306615e-02,1.470952870092e-03
"                   4",1.665008532501e+00,5.334889956619e-01,3.878444195883e+00,2.248108880248e+00,4.862425629312e-01,3.881840470539e+00,5.831003477476e-01,-4.724643273071e-02,3.396274656208e-03
"                   5",1.091169241330e+00,9.906540622020e-01,-2.532627757056e-01,1.664725338438e+00,9.494096788889e-01,-2.460988683318e-01,5.735560971082e-01,-4.124438331306e-02,7.163907373784e-03
"                   6",1.032356821179e+00,1.110001898771e+00,-2.304671853336e+00,1.554619871621e+00,1.088206243433e+00,-2.298233834326e+00,5.222630504426e-01,-2.179565533818e-02,6.438019010158e-03
"                   7",1.164161820185e+00,9.102823496811e-01,-1.599423043702e+00,1.620445222313e+00,9.054524899297e-01,-1.593971323712e+00,4.562834021271e-01,-4.829859751321e-03,5.451719990526e-03
"                   8",1.203713717672e+00,6.490637187804e-01,4.026407336019e-01,1.601826862695e+00,6.599210813806e-01,4.065821518578e-01,3.981131450227e-01,1.085736260023e-02,3.941418255956e-03
"                   9",1.071110011356e+00,4.903801788308e-01,2.286331648975e+00,1.425636894001e+00,5.117190674721e-01,2.288416758355e+00,3.545268826450e-01,2.133888864125e-02,2.085109379855e-03
"                  10",9.473498706800e-01,5.021768565494e-01,2.994438774116e+00,1.262302614849e+00,5.248115463270e-01,2.995644918988e+00,3.149527441689e-01,2.263468977764e-02,1.206144871566e-03
"                  11",1.021170693408e+00,6.654511936637e-01,2.072068565227e+00,1.295217290297e+00,6.800617011724e-01,2.073540646526e+00,2.740465968895e-01,1.461050750873e-02,1.472081298589e-03
"                  12",1.258789408855e+00,8.989836874481e-01,3.754977344045e-01,1.496009357433e+00,9.040558996845e-01,3.767006163170e-01,2.372199485779e-01,5.072212236366e-03,1.202881912543e-03
"                  13",1.488531910406e+00,1.100577773554e+00,-8.817613219007e-01,1.699603809545e+00,1.100522522060e+00,-8.815768954197e-01,2.110718991395e-01,-5.525149388297e-05,1.844264809438e-04
"                  14",1.565099436799e+00,1.175351432843e+00,-1.277213354531e+00,1.761037652199e+00,1.175119456354e+00,-1.277949198917e+00,1.959382154002e-01,-2.319764881361e-04,-7.358443854479e-04
"                  15",1.452498193574e+00,1.087712365662e+00,-9.031583615923e-01,1.638970533313e+00,1.089233446823e+00,-9.040727933225e-01,1.864723397386e-01,1.521081161288e-03,-9.144317302205e-04
"                  16",1.241721981141e+00,8.933221524847e-01,-1.504773012825e-01,1.419488597148e+00,8.964134472350e-01,-1.512132199859e-01,1.777666160067e-01,3.091294750282e-03,-7.359187034703e-04
"                  17",1.069635432209e+00,7.084910118460e-01,3.402819061597e-01,1.237340674436e+00,7.115785608336e-01,3.398960190314e-01,1.677052422265e-01,3.087548987666e-03,-3.858871282909e-04
"                  18",1.005205313844e+00,6.134464647913e-01,2.583660270392e-01,1.161937046708e+00,6.147114037170e-01,2.581158357987e-01,1.567317328643e-01,1.264938925630e-03,-2.501912405419e-04
"                  19",1.019873404050e+00,6.083097391813e-01,-1.047231932734e-01,1.166939960020e+00,6.072534518884e-01,-1.050694609592e-01,1.470665559694e-01,-1.056287292977e-03,-3.462676858256e-04
"                  20",1.045731371625e+00,6.342100718001e-01,-4.078821646124e-01,1.185604076796e+00,6.314559248685e-01,-4.085972903683e-01,1.398727051710e-01,-2.754146931516e-03,-7.151257558985e-04
"                  21",1.025250839987e+00,6.311630698478e-01,-4.870213002496e-01,1.160664225442e+00,6.278509837572e-01,-4.881136079147e-01,1.354133854547e-01,-3.312086090560e-03,-1.092307665137e-03
"                  22",9.530378276743e-01,5.791493115422e-01,-3.805930546867e-01,1.085585171778e+00,5.758021174782e-01,-3.817958575294e-01,1.325473441036e-01,-3.347194063941e-03,-1.202802842672e-03
"                  23",8.652665668792e-01,4.992787514952e-01,-1.986826589021e-01,9.952145387818e-01,4.958188605153e-01,-1.998077474015e-01,1.299479719026e-01,-3.459890979819e-03,-1.125088499382e-03
"                  24",7.998819319713e-01,4.258634932555e-01,-9.914693039207e-02,9.268111610937e-01,4.219666736242e-01,-1.001365679483e-01,1.269292291224e-01,-3.896819631316e-03,-9.896375562452e-04
"                  25",7.696941672473e-01,3.767906593419e-01,-1.306586945490e-01,8.935787615637e-01,3.721877505625e-01,-1.315682933255e-01,1.238845943164e-01,-4.602908779429e-03,-9.095987764231e-04
"                  26",7.615293090404e-01,3.529799482552e-01,-2.133526197880e-01,8.827645017156e-01,3.476369780687e-01,-2.143099586993e-01,1.212351926752e-01,-5.342970186521e-03,-9.573389113722e-04
"                  27",7.536930747715e-01,3.437587464412e-01,-2.798119122442e-01,8.731012496849e-01,3.379063178850e-01,-2.809759541640e-01,1.194081749134e-01,-5.852428556224e-03,-1.164041919801e-03
"                  28",7.365551053540e-01,3.372919611329e-01,-2.672936321317e-01,8.547372747439e-01,3.311156837532e-01,-2.687841535550e-01,1.181821693899e-01,-6.176277379710e-03,-1.490521423241e-03
"                  29",7.095614705504e-01,3.221798080317e-01,-1.922397063296e-01,8.266763837347e-01,3.157803047727e-01,-1.940153835107e-01,1.171149131843e-01,-6.399503258954e-03,-1.775677181059e-03
"                  30",6.875452803978e-01,3.072711602878e-01,-1.735540179669e-01,8.035122727304e-01,3.006412917654e-01,-1.755157900364e-01,1.159669923326e-01,-6.629868522388e-03,-1.961772069459e-03
"                  31",6.781352885121e-01,2.960081630030e-01,-2.136020675899e-01,7.928439131133e-01,2.891050827058e-01,-2.156617243930e-01,1.147086246012e-01,-6.903080297209e-03,-2.059656803061e-03
"                  32",6.810595533618e-01,2.896555914213e-01,-2.186201023305e-01,7.945713345887e-01,2.825944713754e-01,-2.207588754629e-01,1.135117812269e-01,-7.061120045902e-03,-2.138773132403e-03
"                  33",6.879783886168e-01,2.842445192794e-01,-1.673997202596e-01,8.005805800274e-01,2.771902991399e-01,-1.695809209293e-01,1.126021914107e-01,-7.054220139564e-03,-2.181200669667e-03
