Variable,Maximum Value,FoS (Limit),Inference
cauchy stress_0,2.21e+08 Pa,3.98 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_1,2.21e+08 Pa,3.98 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_2,4.11e+08 Pa,2.14 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_3,3.24e+07 Pa,27.16 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_4,1.44e+08 Pa,6.1 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_5,9.90e+06 Pa,88.89 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_L₂,6.05e+08 Pa,1.45 (Yield = 8.80e+08 Pa),Safe (below yield)
displacement_0,0.000021 m (0.021 mm),47.33 (Limit = 1.0 mm),Safe - within tolerance
displacement_1,0.000042 m (0.042 mm),23.59 (Limit = 1.0 mm),Safe - within tolerance
displacement_2,0.002065 m (2.065 mm),0.48 (Limit = 1.0 mm),Unsafe - exceeds deflection limit
displacement_L₂,0.002066 m (2.066 mm),0.48 (Limit = 1.0 mm),Unsafe - exceeds deflection limit
total strain_0,0.0005 (0.05%),18.52 (Limit = 1.00%),Safe - within elastic strain limit
total strain_1,0.0016 (0.16%),6.25 (Limit = 1.00%),Safe - within elastic strain limit
total strain_2,0.0036 (0.36%),2.8 (Limit = 1.00%),Safe - within elastic strain limit
total strain_3,0.0006 (0.06%),16.39 (Limit = 1.00%),Safe - within elastic strain limit
total strain_4,0.0027 (0.27%),3.68 (Limit = 1.00%),Safe - within elastic strain limit
total strain_5,0.0002 (0.02%),53.65 (Limit = 1.00%),Safe - within elastic strain limit
total strain_L₂,0.0050 (0.50%),1.99 (Limit = 1.00%),Safe - within elastic strain limit
von Mises stress,3.34e+08 Pa,2.63 (Yield = 8.80e+08 Pa),Very safe (low stress)
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
