Variable,Maximum Value,FoS (Limit),Inference
cauchy stress_0,6.37e+08 Pa,1.38 (Yield = 8.80e+08 Pa),Safe (below yield)
cauchy stress_1,6.37e+08 Pa,1.38 (Yield = 8.80e+08 Pa),Safe (below yield)
cauchy stress_2,1.24e+09 Pa,0.71 (Yield = 8.80e+08 Pa),Unsafe (exceeds yield)
cauchy stress_3,3.92e+07 Pa,22.47 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_4,1.25e+08 Pa,7.04 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_5,4.34e+07 Pa,20.26 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_L₂,1.78e+09 Pa,0.49 (Yield = 8.80e+08 Pa),Unsafe (exceeds yield)
displacement_0,0.000021 m (0.021 mm),47.88 (Limit = 1.0 mm),Safe - within tolerance
displacement_1,0.000040 m (0.040 mm),24.96 (Limit = 1.0 mm),Safe - within tolerance
displacement_2,0.000325 m (0.325 mm),3.08 (Limit = 1.0 mm),Safe - within tolerance
displacement_L₂,0.000326 m (0.326 mm),3.07 (Limit = 1.0 mm),Safe - within tolerance
total strain_0,0.0002 (0.02%),45.31 (Limit = 1.00%),Safe - within elastic strain limit
total strain_1,0.0030 (0.30%),3.37 (Limit = 1.00%),Safe - within elastic strain limit
total strain_2,0.0093 (0.93%),1.07 (Limit = 1.00%),Safe - within elastic strain limit
total strain_3,0.0005 (0.05%),20.01 (Limit = 1.00%),Safe - within elastic strain limit
total strain_4,0.0016 (0.16%),6.27 (Limit = 1.00%),Safe - within elastic strain limit
total strain_5,0.0006 (0.06%),18.04 (Limit = 1.00%),Safe - within elastic strain limit
total strain_L₂,0.0101 (1.01%),0.99 (Limit = 1.00%),Unsafe - exceeds elastic strain limit
von Mises stress,9.60e+08 Pa,0.92 (Yield = 8.80e+08 Pa),Marginal/Unsafe (close to yield)
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
