Variable,Maximum Value,FoS (Limit),Inference
cauchy stress_0,2.07e+08 Pa,4.24 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_1,2.09e+08 Pa,4.2 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_2,3.93e+08 Pa,2.24 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_3,3.73e+07 Pa,23.61 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_4,1.53e+08 Pa,5.73 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_5,1.30e+07 Pa,67.92 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_L₂,5.70e+08 Pa,1.54 (Yield = 8.80e+08 Pa),Safe (below yield)
displacement_0,0.000021 m (0.021 mm),46.75 (Limit = 1.0 mm),Safe - within tolerance
displacement_1,0.000043 m (0.043 mm),23.48 (Limit = 1.0 mm),Safe - within tolerance
displacement_2,0.002074 m (2.074 mm),0.48 (Limit = 1.0 mm),Unsafe - exceeds deflection limit
displacement_L₂,0.002075 m (2.075 mm),0.48 (Limit = 1.0 mm),Unsafe - exceeds deflection limit
total strain_0,0.0006 (0.06%),16.75 (Limit = 1.00%),Safe - within elastic strain limit
total strain_1,0.0017 (0.17%),5.96 (Limit = 1.00%),Safe - within elastic strain limit
total strain_2,0.0035 (0.35%),2.89 (Limit = 1.00%),Safe - within elastic strain limit
total strain_3,0.0007 (0.07%),14.25 (Limit = 1.00%),Safe - within elastic strain limit
total strain_4,0.0029 (0.29%),3.46 (Limit = 1.00%),Safe - within elastic strain limit
total strain_5,0.0002 (0.02%),40.99 (Limit = 1.00%),Safe - within elastic strain limit
total strain_L₂,0.0049 (0.49%),2.04 (Limit = 1.00%),Safe - within elastic strain limit
von Mises stress,3.28e+08 Pa,2.68 (Yield = 8.80e+08 Pa),Very safe (low stress)
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
