Variable,Maximum Value,FoS (Limit),Inference
cauchy stress_0,2.20e+08 Pa,3.99 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_1,2.20e+08 Pa,3.99 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_2,4.09e+08 Pa,2.15 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_3,3.44e+07 Pa,25.56 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_4,1.49e+08 Pa,5.91 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_5,1.14e+07 Pa,77.42 (Yield = 8.80e+08 Pa),Very safe (low stress)
cauchy stress_L₂,6.02e+08 Pa,1.46 (Yield = 8.80e+08 Pa),Safe (below yield)
displacement_0,0.000021 m (0.021 mm),46.98 (Limit = 1.0 mm),Safe - within tolerance
displacement_1,0.000043 m (0.043 mm),23.39 (Limit = 1.0 mm),Safe - within tolerance
displacement_2,0.002081 m (2.081 mm),0.48 (Limit = 1.0 mm),Unsafe - exceeds deflection limit
displacement_L₂,0.002081 m (2.081 mm),0.48 (Limit = 1.0 mm),Unsafe - exceeds deflection limit
total strain_0,0.0006 (0.06%),18.04 (Limit = 1.00%),Safe - within elastic strain limit
total strain_1,0.0016 (0.16%),6.17 (Limit = 1.00%),Safe - within elastic strain limit
total strain_2,0.0036 (0.36%),2.81 (Limit = 1.00%),Safe - within elastic strain limit
total strain_3,0.0006 (0.06%),15.43 (Limit = 1.00%),Safe - within elastic strain limit
total strain_4,0.0028 (0.28%),3.57 (Limit = 1.00%),Safe - within elastic strain limit
total strain_5,0.0002 (0.02%),46.72 (Limit = 1.00%),Safe - within elastic strain limit
total strain_L₂,0.0050 (0.50%),1.99 (Limit = 1.00%),Safe - within elastic strain limit
von Mises stress,3.35e+08 Pa,2.62 (Yield = 8.80e+08 Pa),Very safe (low stress)
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
,nan,inf (Limit = 8.80e+08),Safe
